"date","close","volume","open","high","low"
"2018/08/10","83.1900","1277337.0000","84.6900","84.6900","82.6800"
"2018/08/09","85.5100","672425.0000","85.0000","86.0400","84.5000"
"2018/08/08","85.5500","502316.0000","85.6700","86.4700","85.3800"
"2018/08/07","86.0600","1310563.0000","85.2100","86.4960","84.7708"
"2018/08/06","85.2000","941573.0000","83.4600","85.3700","82.5900"
"2018/08/03","84.1800","846836.0000","84.7000","84.7000","83.5100"
"2018/08/02","84.4100","2535526.0000","79.0000","84.9100","79.0000"
"2018/08/01","82.1800","2629847.0000","82.6600","83.3000","81.3700"
"2018/07/31","81.7600","753449.0000","81.4200","82.3400","80.6300"
"2018/07/30","80.8300","1131184.0000","81.4000","81.6950","79.9500"
"2018/07/27","81.7200","712817.0000","82.5400","82.9600","80.8750"
"2018/07/26","82.2000","830586.0000","81.2200","82.4550","80.7550"
"2018/07/25","81.2500","998051.0000","81.0200","81.6000","79.6000"
"2018/07/24","81.2200","854130.0000","83.2400","83.7300","81.0000"
"2018/07/23","82.5400","1106308.0000","80.7900","82.6800","79.6900"
"2018/07/20","81.2000","1618829.0000","84.3000","85.2400","81.0600"
"2018/07/19","83.7600","1337034.0000","82.3600","84.2100","82.2800"
"2018/07/18","82.4000","969365.0000","82.8000","83.5000","82.1300"
"2018/07/17","82.7200","579562.0000","81.2100","82.7500","80.7600"
"2018/07/16","81.3300","598538.0000","81.7200","82.3441","81.2100"
"2018/07/13","81.3700","625964.0000","81.8400","82.5800","81.1700"
"2018/07/12","81.9800","1184737.0000","80.4700","82.0600","80.0500"
"2018/07/11","80.2600","659876.0000","82.5600","82.6000","80.2000"
"2018/07/10","83.2900","615983.0000","82.3000","83.4100","82.0500"
"2018/07/09","82.5800","755269.0000","82.0100","82.7400","81.1300"
"2018/07/06","81.5300","759139.0000","81.7700","81.9075","80.0600"
"2018/07/05","81.8200","2325908.0000","79.5100","82.0400","78.6062"
"2018/07/03","77.4400","938130.0000","80.2000","80.2200","77.0000"
"2018/07/02","80.1000","710366.0000","79.7500","80.2900","78.7600"
